<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,18/09/18,10:01,108440,109200,108440,109130,1829
SPFB.RTS-12.18,1,18/09/18,10:02,109120,109190,109020,109060,471
SPFB.RTS-12.18,1,18/09/18,10:03,109070,109090,108970,108990,192
SPFB.RTS-12.18,1,18/09/18,10:04,109000,109030,108910,108950,165
SPFB.RTS-12.18,1,18/09/18,10:05,108950,109010,108900,108950,696
SPFB.RTS-12.18,1,18/09/18,10:06,108910,108950,108840,108900,524
SPFB.RTS-12.18,1,18/09/18,10:07,108890,108940,108850,108850,233
SPFB.RTS-12.18,1,18/09/18,10:08,108870,108890,108830,108830,144
SPFB.RTS-12.18,1,18/09/18,10:09,108850,108890,108820,108890,160
SPFB.RTS-12.18,1,18/09/18,10:10,108880,108920,108860,108900,56
SPFB.RTS-12.18,1,18/09/18,10:11,108910,108910,108860,108860,98
SPFB.RTS-12.18,1,18/09/18,10:12,108830,108830,108750,108750,121
SPFB.RTS-12.18,1,18/09/18,10:13,108750,108980,108750,108960,215
SPFB.RTS-12.18,1,18/09/18,10:14,108960,108990,108930,108990,389
SPFB.RTS-12.18,1,18/09/18,10:15,108950,108990,108920,108960,404
SPFB.RTS-12.18,1,18/09/18,10:16,108970,108990,108930,108970,158
SPFB.RTS-12.18,1,18/09/18,10:17,108970,108970,108900,108900,95
SPFB.RTS-12.18,1,18/09/18,10:18,108910,108940,108870,108870,60
SPFB.RTS-12.18,1,18/09/18,10:19,108870,108920,108870,108920,49
SPFB.RTS-12.18,1,18/09/18,10:20,108920,108930,108900,108900,73
SPFB.RTS-12.18,1,18/09/18,10:21,108890,108920,108880,108900,42
SPFB.RTS-12.18,1,18/09/18,10:22,108880,108940,108850,108940,72
SPFB.RTS-12.18,1,18/09/18,10:23,108920,108950,108920,108950,59
SPFB.RTS-12.18,1,18/09/18,10:24,108950,109010,108950,109000,174
SPFB.RTS-12.18,1,18/09/18,10:25,109010,109080,109010,109060,173
SPFB.RTS-12.18,1,18/09/18,10:26,109080,109280,109070,109240,589
SPFB.RTS-12.18,1,18/09/18,10:27,109250,109340,109200,109200,217
SPFB.RTS-12.18,1,18/09/18,10:28,109210,109290,109190,109280,474
SPFB.RTS-12.18,1,18/09/18,10:29,109270,109300,109250,109270,263
SPFB.RTS-12.18,1,18/09/18,10:30,109310,109310,109210,109210,199
SPFB.RTS-12.18,1,18/09/18,10:31,109220,109440,109220,109320,649
SPFB.RTS-12.18,1,18/09/18,10:32,109310,109440,109290,109370,579
SPFB.RTS-12.18,1,18/09/18,10:33,109380,109450,109380,109420,320
SPFB.RTS-12.18,1,18/09/18,10:34,109410,109450,109360,109440,515
SPFB.RTS-12.18,1,18/09/18,10:35,109460,109590,109440,109540,405
SPFB.RTS-12.18,1,18/09/18,10:36,109550,109570,109390,109420,353
SPFB.RTS-12.18,1,18/09/18,10:37,109430,109450,109330,109380,884
SPFB.RTS-12.18,1,18/09/18,10:38,109370,109410,109360,109410,95
SPFB.RTS-12.18,1,18/09/18,10:39,109400,109420,109360,109380,90
SPFB.RTS-12.18,1,18/09/18,10:40,109380,109380,109290,109290,86
SPFB.RTS-12.18,1,18/09/18,10:41,109290,109310,109280,109280,119
SPFB.RTS-12.18,1,18/09/18,10:42,109270,109340,109260,109300,109
SPFB.RTS-12.18,1,18/09/18,10:43,109300,109360,109270,109270,74
SPFB.RTS-12.18,1,18/09/18,10:44,109260,109270,109240,109240,125
SPFB.RTS-12.18,1,18/09/18,10:45,109250,109340,109250,109320,63
SPFB.RTS-12.18,1,18/09/18,10:46,109320,109350,109290,109290,52
SPFB.RTS-12.18,1,18/09/18,10:47,109310,109320,109260,109280,85
SPFB.RTS-12.18,1,18/09/18,10:48,109270,109310,109270,109290,33
SPFB.RTS-12.18,1,18/09/18,10:49,109300,109300,109250,109270,195
SPFB.RTS-12.18,1,18/09/18,10:50,109290,109310,109260,109270,196
SPFB.RTS-12.18,1,18/09/18,10:51,109290,109290,109270,109280,36
SPFB.RTS-12.18,1,18/09/18,10:52,109280,109550,109280,109430,546
